NAERING,GYLDIG_FOM,GYLDIG_TOM,NAERING_KORT,NAERING_LANG,TYPE,GRLNAERING,KNRNAERING,A64N_NAERING,A64_NAERING,A64NP,PUBAGG,A38NP,A21NP,A64EU_NAERING,A88
86900,1970,9999,Kunst.Vir&underh,"Kunstnerisk virksomhet og underholdningsvirksomhet",A,86905,8690,8690,8390,8X90_92,8X90_97,8X90_93,2X90_93,R90T92,2X90
86910,1970,9999,Bibl.mus.a.kultu,"Drift av biblioteker, arkiver, museer og annen kulturvirksomhet",A,86905,8690,8690,8390,8X90_92,8X90_97,8X90_93,2X90_93,R90T92,2X91
86930,1970,9999,Sport/fritidsakt,"Sports- og fritidsaktiviteter",A,86930,8690,8693,8393,8X93,8X90_97,8X90_93,2X90_93,R93,2X93
86940,1970,9999,Akt.medl.org,"Aktiviteter i medlemsorganisasjoner + internasjonale organisasjoner",A,86940,8694,8694,8394,8X94,8X90_97,8X94_96,2X94_96,S94,2X94
87000,1970,9999,"Residual,varer","Residual, varer, lagerendring.",A,87000,8700,8700,8700,,,,,P52,
87300,1970,9999,"Residual,tjen,","Residual, tjenester",A,87000,8700,8730,8700,,,,,P52,
87400,1970,9999,Tjen.u/residual,"Tjenester som ikke skal ha residual",A,87000,8700,8740,8700,,,,,P52,
87910,1970,9999,"Varer u.arb,olje","Varer under arbeid, moduler, skip",A,87000,8700,8791,8700,,,,,P52,
87920,1970,9999,"Varer u.arb.ell.","Varer under arbeid, ellers",A,87000,8700,8792,8700,,,,,P52,
87930,1970,9999,Husdyrbest.hogs.,"Lagerendring, husdyrbestand, hogstkvantum, fiskeoppdrett o.l.",A,87000,8700,8793,8700,,,,,P52,
87940,1970,9999,Endr.v.dyrk.skog,"Lagerendring, vekst i dyrket skog",A,87000,8700,8794,8700,,,,,P52,
87950,1970,9999,"Tjenester u.arb.","Tjenester under arbeid",A,87000,8700,8795,8700,,,,,P52,
87970,1970,9999,"lagerend. mva.","Lagerendring merverdiavgift og investeringsavgivt",A,87000,8700,8797,8700,,,,,P52,
87990,1970,9999,"Korr. fastp.","Korreksjon i faste priser",A,87000,8700,8799,8700,,,,,P52,
